Date,Vendor Name,Country,Product,Gross Bookings,Fees
2/1/2015,Vendor C,Country 27,Product 7,11906.37,219.5
2/1/2015,Vendor A,Country 4,Product 8,2.94,0.11
2/1/2015,Vendor A,Country 11,Product 9,30630.93,1749.38
2/1/2015,Vendor A,Country 52,Product 9,57673.59,5371.03
2/1/2015,Vendor A,Country 52,Product 3,29.89,1.01
2/1/2015,Vendor A,Country 46,Product 12,275.1,22.95
2/1/2015,Vendor A,Country 33,Product 2,130.29,10.95
2/1/2015,Vendor A,Country 33,Product 12,4956.48,414.11
2/1/2015,Vendor A,Country 19,Product 9,13363.88,1090.51
2/1/2015,Vendor A,Country 19,Product 4,6031.33,522.8
2/1/2015,Vendor A,Country 17,Product 4,13852.75,441.12
2/1/2015,Vendor A,Country 41,Product 9,1378.31,40.78
2/1/2015,Vendor A,Country 29,Product 4,49468.92,3536.86
2/1/2015,Vendor A,Country 7,Product 15,56.99,0.85
2/1/2015,Vendor A,Country 30,Product 10,1000.29,84.1
2/1/2015,Vendor A,Country 50,Product 9,66762.53,3792.06
2/1/2015,Vendor A,Country 28,Product 10,152.11,12.89
2/1/2015,Vendor F,Country 2,Product 2,875659.23,28334.97
2/1/2015,Vendor A,Country 48,Product 2,13.45,1.13
2/1/2015,Vendor A,Country 49,Product 4,9149.84,468.21
2/1/2015,Vendor A,Country 29,Product 10,1120.35,94.51
2/1/2015,Vendor A,Country 11,Product 2,219.35,18.93
2/1/2015,Vendor A,Country 57,Product 4,0.38,0.06
2/1/2015,Vendor A,Country 26,Product 4,5174.09,154.11
2/1/2015,Vendor A,Country 21,Product 4,8821.08,293.78
2/1/2015,Vendor A,Country 34,Product 3,10.5,0.22
2/1/2015,Vendor A,Country 21,Product 2,62.01,5.21
2/1/2015,Vendor A,Country 27,Product 10,24.38,2.05
2/1/2015,Vendor A,Country 21,Product 8,10.13,0.13
2/1/2015,Vendor A,Country 27,Product 2,42.53,3.62
2/1/2015,Vendor A,Country 25,Product 10,119.65,10.18
2/1/2015,Vendor A,Country 10,Product 2,108.64,9.12
2/1/2015,Vendor A,Country 42,Product 4,7454.26,169.46
2/1/2015,Vendor A,Country 31,Product 2,154.1,12.95
2/1/2015,Vendor A,Country 18,Product 8,0.95,0.03
2/1/2015,Vendor B,Country 43,Product 6,4262.21,119.33
2/1/2015,Vendor B,Country 42,Product 6,228.29,6.39
2/1/2015,Vendor B,Country 26,Product 6,429.91,12.04
2/1/2015,Vendor B,Country 47,Product 6,793.71,22.92
2/1/2015,Vendor E,Country 3,Product 13,443771.21,8850.59
2/1/2015,Vendor C,Country 32,Product 7,2.02,0.04
2/1/2015,Vendor D,Country 2,Product 14,562.81, $-   
2/1/2015,Vendor D,Country 2,Product 16, $-   ,6589.98
2/1/2015,Vendor B,Country 32,Product 6,55.31,1.55
2/1/2015,Vendor B,Country 55,Product 6,37151.09,1077.35
2/1/2015,Vendor B,Country 25,Product 6,9209.89,257.87
2/1/2015,Vendor B,Country 9,Product 6,80.84,2.26
2/1/2015,Vendor B,Country 34,Product 6,33752.92,945.09
2/1/2015,Vendor B,Country 20,Product 6,6821.32,198.64
2/1/2015,Vendor B,Country 13,Product 6,13214.45,371.03
2/1/2015,Vendor B,Country 12,Product 6,1805.34,52.3
2/1/2015,Vendor C,Country 25,Product 7,29020.46,538.81
2/1/2015,Vendor C,Country 56,Product 7,606.33,11.26
2/1/2015,Vendor A,Country 45,Product 9,10305.27,325.48
2/1/2015,Vendor A,Country 47,Product 9,41571.46,3209.95
2/1/2015,Vendor A,Country 51,Product 4,9066.32,479.36
2/1/2015,Vendor A,Country 33,Product 10,472.37,40.09
2/1/2015,Vendor A,Country 20,Product 3,18.64,0.43
2/1/2015,Vendor A,Country 25,Product 9,59453.87,1809.16
2/1/2015,Vendor A,Country 1,Product 8,89.91,1.49
2/1/2015,Vendor A,Country 41,Product 4,612.32,19.5
2/1/2015,Vendor A,Country 28,Product 2,7.72,0.65
2/1/2015,Vendor A,Country 27,Product 3,72.87,1.86
2/1/2015,Vendor A,Country 6,Product 9,49935.48,1467.53
2/1/2015,Vendor A,Country 37,Product 9,108238.66,6361.34
2/1/2015,Vendor A,Country 5,Product 2,55.91,4.7
2/1/2015,Vendor A,Country 44,Product 9,7722.03,473.52
2/1/2015,Vendor A,Country 49,Product 3,9.38,0.44
2/1/2015,Vendor A,Country 2,Product 2,43865.55,2162.08
2/1/2015,Vendor A,Country 46,Product 9,836.9,48.11
2/1/2015,Vendor A,Country 25,Product 4,115449.08,2809.36
2/1/2015,Vendor A,Country 29,Product 12,32491.14,2811.89
2/1/2015,Vendor A,Country 3,Product 4,120752.56,8210.66
2/1/2015,Vendor A,Country 23,Product 8,30.16,97.54
2/1/2015,Vendor A,Country 44,Product 4,9992.27,646.32
2/1/2015,Vendor A,Country 30,Product 2,76.71,21.73
2/1/2015,Vendor A,Country 3,Product 8,26.33,0.52
2/1/2015,Vendor B,Country 7,Product 6,471550.29,13203.4
2/1/2015,Vendor B,Country 16,Product 6,2275.93,65.38
2/1/2015,Vendor G,Country 19,Product 17,248336.46,3131.01
2/1/2015,Vendor C,Country 54,Product 7,323035.85,4617.27
2/1/2015,Vendor C,Country 7,Product 7,245685.91,4565.57
2/1/2015,Vendor C,Country 5,Product 7,2101.96,39.12
2/1/2015,Vendor C,Country 35,Product 7,806740.32,14996.16
2/1/2015,Vendor F,Country 2,Product 10,1992.22,69.54
2/1/2015,Vendor A,Country 13,Product 9,116809.61,7149.18
2/1/2015,Vendor A,Country 14,Product 9,16967.19,1108.34
2/1/2015,Vendor A,Country 20,Product 9,42893.54,3611.56
2/1/2015,Vendor A,Country 22,Product 9,2668.7,181.08
2/1/2015,Vendor A,Country 52,Product 4,83171.76,7273.78
2/1/2015,Vendor A,Country 47,Product 12,5194.82,434.13
2/1/2015,Vendor A,Country 46,Product 4,572.83,32.56
2/1/2015,Vendor A,Country 43,Product 9,19743.71,412.45
2/1/2015,Vendor A,Country 31,Product 9,372408.75,24566.02
2/1/2015,Vendor A,Country 35,Product 1,93.81,0.61
2/1/2015,Vendor A,Country 9,Product 4,82.65,25.33
2/1/2015,Vendor A,Country 25,Product 3,6029.04,127.91
2/1/2015,Vendor A,Country 37,Product 3,9.35,0.2
2/1/2015,Vendor A,Country 7,Product 4,789407.06,20323.17
2/1/2015,Vendor A,Country 50,Product 10,4.48,0.38
2/1/2015,Vendor A,Country 12,Product 4,13317.84,1784.19
2/1/2015,Vendor A,Country 26,Product 3,5.67,0.12
2/1/2015,Vendor A,Country 35,Product 3,388.73,7.91
2/1/2015,Vendor A,Country 27,Product 1,21.83,0.33
2/1/2015,Vendor A,Country 50,Product 8,17.09,0.14
2/1/2015,Vendor A,Country 39,Product 4,26147.48,1960.87
2/1/2015,Vendor A,Country 24,Product 4,939.11,90.2
2/1/2015,Vendor A,Country 42,Product 12,1950.22,164.44
2/1/2015,Vendor A,Country 50,Product 4,35896.9,2077.15
2/1/2015,Vendor A,Country 26,Product 1,2.09,0.03
2/1/2015,Vendor A,Country 2,Product 4,628479.65,36764.81
2/1/2015,Vendor A,Country 27,Product 4,34979.95,1108.27
2/1/2015,Vendor A,Country 40,Product 10,699.03,59.6
2/1/2015,Vendor A,Country 28,Product 3,11.4,0.25
2/1/2015,Vendor A,Country 21,Product 10,18.58,1.56
2/1/2015,Vendor A,Country 31,Product 4,167180.46,10266.29
2/1/2015,Vendor A,Country 42,Product 10,13.77,1.16
